,tgroup,key,value,description,embedding
2896,properties,service,,"Additional information about a service highway/railway/waterway, or about services offered at a business","tensor([ 0.0190, -0.0244, -0.0176,  ...,  0.0087, -0.0248,  0.0405])"
2897,,service:bicycle:*,,,"tensor([ 0.0179, -0.0173, -0.0324,  ...,  0.0036, -0.0536,  0.0533])"
2914,,service:vehicle:*,,,"tensor([ 0.0093, -0.0485, -0.0261,  ..., -0.0030, -0.0330,  0.0482])"
2934,restrictions,ship,,Access permission for ships,"tensor([-0.0211, -0.0271,  0.0061,  ...,  0.0166, -0.0352,  0.0312])"
2936,shops,shoes,,Tagged on shops and other features to denote if they sell shoes or not and what type of shoes they sell.,"tensor([ 0.0065, -0.0099, -0.0157,  ...,  0.0235, -0.0321,  0.0618])"
2939,shops,shop,,A place selling retail products or offering services.,"tensor([ 0.0144,  0.0026, -0.0238,  ...,  0.0246, -0.0311,  0.0654])"
2940,names,short_name,,"A recognizable, commonly used short version of the main name.","tensor([ 0.0132,  0.0115, -0.0101,  ...,  0.0027, -0.0328,  0.0371])"
2951,highways,sidewalk,,Indicates the presence or absence of a sidewalk (pavement/footway).,"tensor([ 0.0385, -0.0221, -0.0284,  ...,  0.0446, -0.0346,  0.0798])"
2952,highways,sidewalk:both,,Indicates the presence or absence of a sidewalk (pavement/footway) along the road.,"tensor([ 0.0616, -0.0068, -0.0175,  ...,  0.0372, -0.0270,  0.0749])"
2955,highways,sidewalk:left,,Indicates the presence or absence of a sidewalk (pavement/footway) on the left side of the road.,"tensor([ 0.0534, -0.0254, -0.0224,  ...,  0.0262, -0.0376,  0.0842])"
2957,highways,sidewalk:right,,Indicates the presence or absence of a sidewalk (pavement/footway) on the right side of the road.,"tensor([ 0.0448, -0.0229, -0.0207,  ...,  0.0375, -0.0389,  0.0773])"
2987,social facilities,social_facility,,Specifies the type of a facility that provides social services,"tensor([ 0.0307, -0.0247, -0.0169,  ...,  0.0239, -0.0303,  0.0398])"
2989,,socket:*,,,"tensor([ 0.0291, -0.0296, -0.0250,  ...,  0.0550, -0.0405,  0.0490])"
3015,natural,species,,The scientific name for a living or fossil organism.,"tensor([ 0.0156,  0.0003, -0.0072,  ...,  0.0568, -0.0335,  0.0386])"
3024,,speech_output,,Used to indicate if a machine is able to use speech output to communicate with the user.,"tensor([ 7.2691e-05, -4.8358e-02, -1.4146e-02,  ...,  3.8916e-02,
        -1.5464e-02,  2.3969e-02])"
3054,highways,stop,,A junction at which vehicles on some or all approaches must stop.,"tensor([ 0.0217, -0.0027, -0.0114,  ...,  0.0004, -0.0485,  0.0713])"
3062,,street_lamp,,,"tensor([-0.0092, -0.0192, -0.0102,  ...,  0.0192, -0.0248,  0.0362])"
3068,annotations,subject,,"The subject that the feature is about (explains, commemorates, symbolizes, etc.).","tensor([ 0.0269, -0.0056,  0.0038,  ..., -0.0160, -0.0156,  0.0267])"
3079,properties,surface,,Describes the surface of a feature.,"tensor([ 0.0170, -0.0067, -0.0069,  ..., -0.0149,  0.0055,  0.0736])"
3086,properties,surveillance,,Indicates whether a location is under surveillance or what type of surveilled area it is.,"tensor([ 0.0636, -0.0090, -0.0022,  ...,  0.0226, -0.0375,  0.0509])"
3106,,takeaway:*,,,"tensor([ 0.0119,  0.0050, -0.0405,  ...,  0.0080, -0.0516,  0.0645])"
3115,natural,taxon,,Describes the taxon of a feature.,"tensor([ 0.0220, -0.0128, -0.0173,  ...,  0.0288, -0.0259,  0.0214])"
3155,,toilets:*,,,"tensor([ 0.0495, -0.0134, -0.0080,  ...,  0.0054, -0.0382,  0.0646])"
3164,road properties,toll,,Toll roads charge money for general traffic.,"tensor([ 0.0223, -0.0142, -0.0186,  ..., -0.0167, -0.0434,  0.0348])"
3169,marine,topmark,,,"tensor([ 0.0018,  0.0156,  0.0035,  ..., -0.0052, -0.0026,  0.0540])"
3188,highways,traffic_sign,,Traffic signs give instructions or provide information to road users.,"tensor([ 0.0244, -0.0017, -0.0192,  ..., -0.0093, -0.0620,  0.0457])"
3191,highways,traffic_signals,,Gives details about the type or function of traffic signals.,"tensor([ 0.0126, -0.0269, -0.0170,  ..., -0.0024, -0.0543,  0.0381])"
3204,hiking,trailblazed,,"Markings on outdoor paths and trails by signs, markers, poles, cairns or in another way.","tensor([ 0.0145,  0.0166, -0.0264,  ...,  0.0426, -0.0501,  0.0323])"
3237,placement,tunnel,,A tunnel is an underground passageway built for a road or similar.,"tensor([ 0.0342,  0.0009, -0.0432,  ..., -0.0043, -0.0331,  0.0672])"
3239,road properties,turn,,The key turn can be used to specify the direction in which a way or a lane will lead,"tensor([ 0.0086, -0.0344,  0.0044,  ..., -0.0125, -0.0507,  0.0735])"
3249,properties,type,,Type of a relation.,"tensor([ 0.0299, -0.0077, -0.0058,  ...,  0.0101, -0.0384,  0.0631])"
3280,restrictions,vehicle,,Access permission for all vehicles,"tensor([ 0.0011, -0.0191, -0.0090,  ...,  0.0096, -0.0569,  0.0273])"
3295,power,voltage,,"For describing the voltage of power lines, cables, and substations.","tensor([ 0.0154, -0.0227, -0.0195,  ...,  0.0096, -0.0412,  0.0347])"
3304,,wall,,"Used to provide more detailed information about a tag:barrier=wall. The value should indicate the principle feature of the wall, which might be the type, purpose, or building material of the wall.","tensor([ 0.0187, -0.0221, -0.0258,  ...,  0.0334, -0.0158,  0.0593])"
3308,,was:*,,,"tensor([ 0.0352, -0.0242, -0.0205,  ...,  0.0329, -0.0420,  0.0654])"
3323,waterways,waterway,,Used to mark rivers or other kind of waterways.,"tensor([ 0.0126, -0.0140,  0.0068,  ...,  0.0053, -0.0448,  0.0744])"
3329,,website:*,,,"tensor([ 0.0225, -0.0160,  0.0102,  ...,  0.0140, -0.0606,  0.0632])"
3339,accessibility,wheelchair,,Indicate if a special place can be used with wheelchairs,"tensor([ 0.0137,  0.0024, -0.0024,  ...,  0.0092, -0.0672,  0.0927])"
3340,properties,wheelchair:description,,Store extra notes about accessibility.,"tensor([ 0.0334, -0.0155,  0.0024,  ..., -0.0184, -0.0464,  0.0812])"
3345,properties,width,,"The width of a feature. If not specified, the default unit is the metre.","tensor([ 0.0311,  0.0220, -0.0034,  ...,  0.0006, -0.0250,  0.0561])"
3353,annotations,wikipedia,,Provides a link to Wikipedia's article about the feature.,"tensor([ 0.0290,  0.0199, -0.0167,  ...,  0.0047, -0.0150,  0.0487])"
3372,properties,wood,,Deprecated: type of wood,"tensor([ 0.0277,  0.0110, -0.0163,  ...,  0.0449, -0.0263,  0.0865])"
3401,amenities,abandoned:amenity,prison,"Abandoned prison, with still present remains","tensor([ 0.0153,  0.0123, -0.0037,  ...,  0.0184, -0.0409,  0.0664])"
3403,landuse,abandoned:landuse,landfill,A landfill that has been recultivated.,"tensor([ 0.0144,  0.0206,  0.0166,  ...,  0.0076, -0.0747,  0.0178])"
3404,landuse,abandoned:landuse,quarry,A quarry that has been recultivated or overgrown by nature.,"tensor([ 0.0121,  0.0020,  0.0011,  ...,  0.0230, -0.0464,  0.0414])"
3405,railways,abandoned:railway,rail,A former railway track,"tensor([ 0.0295, -0.0273, -0.0195,  ...,  0.0230, -0.0896,  0.0830])"
3406,railways,abandoned:railway,station,A former railway station,"tensor([ 0.0319, -0.0102, -0.0207,  ...,  0.0120, -0.0941,  0.0697])"
3407,lifecycle,abandoned,yes,A man-made feature abandoned and no longer maintained. Also see abandoned:* namespace.,"tensor([ 0.0088,  0.0069,  0.0100,  ...,  0.0124, -0.0543,  0.0461])"
3408,restrictions,access,agricultural,Restricted to usage of the road for agricultural purposes (for any type of transportation mode),"tensor([ 0.0124, -0.0011,  0.0196,  ..., -0.0131, -0.0674,  0.0165])"
3409,restrictions,access,customers,Restricted to customers at the destination.,"tensor([ 0.0047, -0.0090,  0.0150,  ...,  0.0032, -0.0189,  0.0304])"
3410,restrictions,access,delivery,Access only when delivering,"tensor([-0.0042, -0.0029,  0.0134,  ...,  0.0465, -0.0208,  0.0455])"
3411,restrictions,access,designated,A way marked for a particular use. Only used with a specific mode of transport!,"tensor([ 0.0106, -0.0041,  0.0221,  ...,  0.0175, -0.0492,  0.0605])"
3412,restrictions,access,destination,"Through traffic of all modes of transportation forbidden, non-through traffic users allowed","tensor([ 0.0283,  0.0048,  0.0112,  ...,  0.0163, -0.0362,  0.0282])"
3413,restrictions,access,employees,Access only for employees,"tensor([-0.0029, -0.0168,  0.0305,  ...,  0.0433, -0.0349,  0.0728])"
3415,restrictions,access,forestry,Restricted to usage of the road for forestry purposes (with any type of vehicle),"tensor([-0.0054,  0.0071,  0.0254,  ...,  0.0173, -0.0564,  0.0229])"
3416,restrictions,access,license,A parking lot or way only accessible with a special permit.,"tensor([-0.0023,  0.0231,  0.0007,  ...,  0.0236, -0.0361,  0.0433])"
3417,restrictions,access,no,The object is prohibited to be used by the general public.,"tensor([ 0.0092,  0.0076, -0.0055,  ...,  0.0356, -0.0188,  0.0225])"
3418,restrictions,access,official,A way dedicated for a particular use by law.,"tensor([-0.0107, -0.0053,  0.0201,  ...,  0.0097, -0.0439,  0.0537])"
3419,restrictions,access,permissive,"The object is open to general public use, but access not protected by legislation and can be revoked.","tensor([ 0.0283,  0.0196,  0.0152,  ...,  0.0326, -0.0382,  0.0198])"
3420,restrictions,access,permit,"Access requires a permit, ordinarily granted.","tensor([-0.0035,  0.0128,  0.0082,  ...,  0.0237, -0.0189,  0.0264])"
3421,restrictions,access,private,The feature is not to be used by the general public.,"tensor([ 0.0008,  0.0007, -0.0087,  ...,  0.0267, -0.0176,  0.0344])"
3422,,access,public,,"tensor([ 0.0092,  0.0237, -0.0270,  ...,  0.0108, -0.0290,  0.0574])"
3423,restrictions,access,residents,Access only for residents,"tensor([ 0.0013,  0.0168,  0.0303,  ...,  0.0230, -0.0538,  0.0363])"
3424,restrictions,access,restricted,"Tagging scheme is duplicating standard access tagging. Please use instead proper key:access tags, optionally with proper overriding tags.","tensor([ 0.0159,  0.0086, -0.0014,  ...,  0.0400, -0.0551,  0.0296])"
3425,restrictions,access,students,Restricted to students,"tensor([ 0.0275,  0.0012,  0.0143,  ...,  0.0310, -0.0348,  0.0203])"
3426,restrictions,access,unknown,The access conditions are unknown or unclear and indicates that survey is necessary.,"tensor([ 0.0098,  0.0175,  0.0217,  ...,  0.0367, -0.0234,  0.0312])"
3428,restrictions,access,yes,"The public has an official, legally-enshrined right of access","tensor([ 0.0076,  0.0282,  0.0079,  ...,  0.0236, -0.0337,  0.0387])"
3435,boundaries,admin_level,2,Marks country borders.,"tensor([ 0.0228, -0.0313,  0.0188,  ...,  0.0271, -0.0366,  0.0679])"
3437,advertising,advertising,billboard,"Advertising billboard (also called a hoarding) is a large outdoor advertising structure, typically found in high-traffic areas such as alongside busy roads.","tensor([ 0.0386,  0.0248, -0.0084,  ..., -0.0062, -0.0394,  0.0483])"
3438,advertising,advertising,board,"Small billboard for neighbourhood advertising, generally intended for pedestrians, but some of them can be along roads. Some of them are open to any fly posters, and not private.","tensor([ 0.0270,  0.0394, -0.0086,  ..., -0.0029, -0.0212,  0.0626])"
3439,advertising,advertising,column,"An advertising column, a cylindrical outdoor structure which shows advertisements","tensor([ 0.0449,  0.0308,  0.0055,  ...,  0.0019, -0.0396,  0.0596])"
3440,advertising,advertising,flag,Flagpole for advertising,"tensor([-0.0016, -0.0175, -0.0288,  ...,  0.0387, -0.0400,  0.0511])"
3441,advertising,advertising,poster_box,"Dedicated box, for putting up posters with a display surface of about 2 m², generally with two faces, generally lit by transmission, sometimes animated. Sometimes called 'lollylop', 'snowshoe' or 'city light'.","tensor([ 0.0219,  0.0365, -0.0194,  ...,  0.0090, -0.0281,  0.0861])"
3442,advertising,advertising,screen,Advertising screen,"tensor([ 0.0444, -0.0014,  0.0017,  ...,  0.0129, -0.0417,  0.0596])"
3444,advertising,advertising,sign,"Sign, used for advertising signs, neon signs, logos & institutional entrance signs.","tensor([ 0.0384,  0.0199, -0.0299,  ...,  0.0201, -0.0431,  0.0448])"
3446,advertising,advertising,totem,A rectangular advertising totem.,"tensor([ 0.0249,  0.0264, -0.0223,  ...,  0.0228, -0.0284,  0.0597])"
3447,advertising,advertising,wall_painting,Advertisement painted on a wall,"tensor([ 0.0220,  0.0204,  0.0147,  ...,  0.0005, -0.0367,  0.0592])"
3451,aerialways,aerialway,cable_car,"A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.","tensor([ 0.0363,  0.0363,  0.0042,  ...,  0.0167, -0.0695,  0.0660])"
3453,aerialways,aerialway,chair_lift,An open chairlift run. These have one or more seats or benches and are open to the outside air.,"tensor([ 0.0554, -0.0050,  0.0160,  ..., -0.0002, -0.0537,  0.0509])"
3454,aerialways,aerialway,drag_lift,An overhead tow-line for skiers and riders.,"tensor([ 4.2283e-02,  4.2413e-03,  2.8181e-02,  ..., -7.7002e-05,
        -5.0728e-02,  4.7803e-02])"
3455,aerialways,aerialway,gondola,An aerialway where the cabins go around in a circle.,"tensor([ 0.0599,  0.0211,  0.0025,  ...,  0.0002, -0.0618,  0.0399])"
3458,aerialways,aerialway,magic_carpet,A ski lift for small children resembling a conveyor belt.,"tensor([ 0.0404,  0.0133,  0.0020,  ...,  0.0039, -0.0483,  0.0520])"
3461,aerialways,aerialway,pylon,A pylon supporting the aerialway cable.,"tensor([ 0.0271,  0.0159, -0.0091,  ..., -0.0011, -0.0449,  0.0521])"
3463,aerialways,aerialway,station,A station where passengers and/or goods can enter and/or leave the aerialway,"tensor([ 0.0314,  0.0006,  0.0173,  ..., -0.0023, -0.0861,  0.0403])"
3465,aerialways,aerialway,zip_line,"Zip line, gravity propelled aerial ropeslide like a flying fox or similar","tensor([ 0.0440, -0.0147,  0.0136,  ...,  0.0179, -0.0444,  0.0613])"
3466,aeroways,aerodrome:type,airfield,Small airfield,"tensor([ 0.0201,  0.0005,  0.0397,  ...,  0.0287, -0.0699,  0.0624])"
3468,aeroways,aerodrome:type,international,International airport,"tensor([ 0.0110, -0.0017,  0.0107,  ...,  0.0037, -0.0809,  0.0661])"
3470,aeroways,aerodrome:type,private,Private airfield,"tensor([ 0.0097, -0.0199,  0.0251,  ...,  0.0168, -0.0623,  0.0534])"
3471,aeroways,aerodrome:type,regional,Regional airfield,"tensor([-0.0024, -0.0250,  0.0235,  ...,  0.0343, -0.0961,  0.0577])"
3472,products,aerospace:product,robot,Producing (aero)space robots,"tensor([-0.0099, -0.0077, -0.0153,  ...,  0.0008, -0.0424,  0.0240])"
3473,products,aerospace:product,rocket,Producing rockets,"tensor([ 0.0143, -0.0053, -0.0076,  ...,  0.0082, -0.0379,  0.0446])"
3474,products,aerospace:product,satellite,An institution producing satellites,"tensor([ 0.0291,  0.0032, -0.0127,  ...,  0.0261, -0.0676,  0.0505])"
3476,products,aerospace:product,spacecraft_propulsion,Producing propulsion for spacecraft,"tensor([ 0.0023, -0.0057, -0.0161,  ..., -0.0091, -0.0425,  0.0390])"
3477,aeroways,aeroway,aerodrome,"An aerodrome, airport or airfield","tensor([ 0.0287, -0.0164,  0.0318,  ...,  0.0182, -0.0643,  0.0570])"
3478,crossings,aeroway,aircraft_crossing,A point where the flow of traffic is impacted by crossing aircraft.,"tensor([ 0.0022, -0.0102,  0.0212,  ...,  0.0158, -0.0487,  0.0537])"
3480,aeroways,aeroway,airstrip,A field or area where light aircraft can land and take off from.,"tensor([ 0.0103, -0.0074,  0.0377,  ...,  0.0238, -0.0729,  0.0476])"
3482,aeroways,aeroway,apron,"An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.","tensor([ 0.0182, -0.0209,  0.0249,  ...,  0.0246, -0.0715,  0.0362])"
3483,aeroways,aeroway,arresting_gear,A mechanical system used to rapidly decelerate an aircraft as it lands on a runway.,"tensor([ 0.0162,  0.0071,  0.0229,  ...,  0.0228, -0.0725,  0.0200])"
3484,aeroways,aeroway,control_center,A facility responsible for controlling aircraft en route in a particular volume of airspace (a Flight Information Region) at high altitudes between airport approaches and departures.,"tensor([ 0.0198,  0.0084,  0.0097,  ...,  0.0414, -0.0516,  0.0300])"
3486,aeroways,aeroway,fuel,An aviation fuel station.,"tensor([ 0.0265, -0.0191,  0.0140,  ..., -0.0075, -0.0751,  0.0673])"
3487,aeroways,aeroway,gate,"The bounded space, inside the airport terminal, where passengers wait before boarding their flight","tensor([ 0.0116, -0.0046,  0.0142,  ...,  0.0077, -0.0632,  0.0510])"
3488,aeroways,aeroway,hangar,A large airport building with extensive floor area for housing aircraft or spacecraft.,"tensor([ 0.0320, -0.0125, -0.0093,  ...,  0.0120, -0.0466,  0.0596])"
3489,aeroways,aeroway,helipad,A landing area or platform designed for helicopters,"tensor([ 0.0359, -0.0237,  0.0176,  ..., -0.0002, -0.0814,  0.0311])"
3490,aeroways,aeroway,heliport,A special aerodrome built for helicopters.,"tensor([ 0.0278, -0.0205,  0.0195,  ...,  0.0115, -0.0759,  0.0372])"
3492,aeroways,aeroway,holding_position,A point behind which aircraft are considered clear of a crossing way,"tensor([ 0.0162, -0.0033,  0.0027,  ...,  0.0380, -0.0621,  0.0291])"
3494,aeroways,aeroway,jet_bridge,"An enclosed, movable connector that extends from an airport terminal to an airplane","tensor([ 0.0269, -0.0139, -0.0024,  ...,  0.0089, -0.0711,  0.0393])"
3498,,aeroway,model_runway,Take-off and landing runway for model aircraft,"tensor([ 0.0024, -0.0183,  0.0204,  ...,  0.0328, -0.0570,  0.0568])"
3499,aeroways,aeroway,navigationaid,A facility that supports visual navigation for aircraft,"tensor([ 0.0310, -0.0297,  0.0324,  ..., -0.0012, -0.0603,  0.0530])"
3501,aeroways,aeroway,parking_position,A location where an airplane can park,"tensor([ 0.0171, -0.0080,  0.0183,  ...,  0.0304, -0.0614,  0.0618])"
3502,aeroways,aeroway,runway,A strip of land on which aircraft can take off and land.,"tensor([ 0.0084, -0.0133,  0.0305,  ...,  0.0321, -0.0746,  0.0391])"
3504,aeroways,aeroway,stopway,A rectangular surface beyond the end of a runway used to support an aeroplane during an aborted takeoff.,"tensor([ 0.0140,  0.0095,  0.0129,  ...,  0.0320, -0.0728,  0.0255])"
3505,aeroways,aeroway,taxilane,A path for aircraft in an airport that is part of the aircraft parking area or apron,"tensor([ 0.0343, -0.0111,  0.0136,  ...,  0.0279, -0.0814,  0.0231])"
